SMILES,Rank,fxa_pIC50,logD_74,molweight,caco2_permeability,hERG_pIC50,hlm_clearance,fxa_pIC50_in_bounds,logD_74_in_bounds,molweight_in_bounds,caco2_permeability_in_bounds,hERG_pIC50_in_bounds,hlm_clearance_in_bounds,all_scores_in_bounds
COc1ccc(-c2ccc(C(=O)NCC=Cc3cc(C(=N)N)ccc3O)cc2)cn1,10,7.843091965,0.907262206,402.1691906,-0.112517059,4.406478882,32.35414505,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
COCCOCCOc1cc2cc(C(=O)NC3CCN(C(C)C)CC3)n(CC(=O)Nc3ccc(Br)cn3)c2cn1,15,7.686628819,1.117016673,616.2008804,0.089938805,4.220530033,27.24221992,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
CCOC(=O)CN(C(=O)c1cc2cccc(C)c2n1Cc1cc(-c2ccc(Cl)s2)on1)C1CCN(C(C)C)CC1,31,7.506919384,3.543121815,582.2067543,1.778188705,6.123660088,78.91346741,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CC(OC(=O)OC1CCCCC1)OC(=O)c1ccc2nc(C(=O)NC3CCN(C(C)C)CC3)n(CC(=O)Nc3ccc(Cl)cn3)c2c1,44,7.493148327,3.280467987,668.2725253,0.743977904,6.100955009,68.53374481,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CC(C)N1CCC(NC(=O)c2cc(C(=O)N3CC(O)C3)nn2Cc2cc3ccc(Cl)cc3s2)CC1,29,7.305198669,1.559156656,515.1757885,-0.211707547,4.660876751,10.77965355,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
CC(C)N1CCC(NC(=O)c2nn(Cc3cc(-c4ccc(Cl)s4)on3)c3ccc(C(=O)NCCN4CCOCC4)cc23)CC1,11,7.290633678,1.729388475,639.2394514,-0.288895279,4.990877151,30.60326767,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
O=C(Cn1c(C(=O)NC2CCN(C3CC3)CC2)cc2cc(C(=O)O)ccc21)Nc1ccc(Cl)nc1,48,7.142900467,0.881342888,495.167332,-0.51258564,4.041739941,8.571881294,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
NC(CNC(=O)c1ccc(Cl)s1)C(=O)Nc1ccc(N2CCOCC2=O)c(C(F)F)c1,16,7.076083183,0.876715183,472.0783602,0.658881545,4.028413773,23.04178238,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
CC(C)N1CCC(NC(=O)c2c(C#N)cnn2CC(=O)Nc2ccc(Cl)cc2)CC1,36,6.983931541,0.765119553,428.1727517,0.016015366,4.877283096,21.69903183,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
O=C(NCCS(=O)(=O)Nc1ccc(-n2ccncc2=O)cc1)c1ccc(Cl)s1,33,6.890856743,1.549528837,438.0223246,0.403073072,5.104375839,13.95984077,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
O=C1CN(S(=O)(=O)c2cc3ccc(Cl)nc3s2)CCN1Cc1nc(C(=O)N2CCOCC2)cs1,42,6.883127213,1.402136326,541.0315094,1.292832017,4.353523254,71.15657043,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O=C(C1CCN(c2ccncc2)CC1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1,35,6.834248066,2.001583099,498.1492394,0.955196917,6.097463608,23.79602242,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Cc1ccc(C(=O)NCCS(=O)(=O)NC2CCN(C(C)C)CC2)s1,19,6.828780174,0.071691394,373.1493837,0.363954455,4.403934479,19.5606842,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
O=C(Cn1c(C(=O)Nc2ccc(N3CCOCC3=O)cc2)nc2c(C(=O)O)cccc21)Nc1ccc(Cl)cn1,7,6.801301479,1.234198928,548.1211101,-0.274337679,4.301426888,8.53750515,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
O=C1C(NS(=O)(=O)c2ccc(-c3ccc(Cl)s3)s2)CCN1Cc1cc2cnccc2[nH]1,8,6.660474777,2.700325727,492.0151311,1.444568753,5.348496914,53.02960587,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
O=C(NCC1CCN(c2ccncc2)CC1)c1cc(-c2cccs2)nn1Cc1cc(-c2ccc(Cl)s2)on1,41,6.630366325,3.389796972,564.1168937,1.19497633,6.20376873,48.8990097,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O=C(NCc1ccccc1C(=O)NC1CCN(c2ccncc2)CC1)c1ccc(Cl)s1,27,6.567030907,0.953032196,454.1230247,0.673578978,5.929872036,16.83667374,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
CCOC(=O)c1cc(C(=O)N(CC2CC2)C2CCN(C(C)C)CC2)n(CC(=O)Nc2ccc(Cl)cn2)n1,25,6.544706345,2.030497551,530.2408313,0.900815248,5.382231712,78.32142639,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O=C(NCC1CC1)c1cc(OCCc2ccc(Cl)cc2Cl)cc(C(=O)NCC2CCN(c3ccncc3)CC2)c1,6,6.534902096,2.904314041,580.2007963,1.010511756,6.086363792,52.94330978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3cc(C(=O)N4CC(O)C4)ccc32)c1,47,6.191928864,0.715298653,504.2736556,-0.136708632,4.521956444,13.60438633,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
COc1cccc(Cn2c(C(=O)Nc3ccc(-n4ccc(=O)cc4)cc3)nc3ccccc32)c1,30,6.068051815,3.207320929,450.1691906,1.586787701,5.192631721,43.69660568,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Nc1nccc2ccc(C3CCN(C(=O)c4ccc(-c5ccc(=O)[nH]c5)nc4)CC3)cc12,1,5.98528862,1.052918673,425.185175,0.261639804,4.719056129,12.08944035,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
CCN1CCN(c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)C(=O)C1=O,45,5.967862129,4.093296051,574.1190019,1.988713741,5.609156609,45.41976166,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
COc1cccc(CN(C(=O)c2c(C)c3ccccc3n2Cc2cccc(OC)c2)C2CCN(C(C)C)CC2)c1,3,5.756135941,2.826162815,539.3147922,1.855746984,5.804952621,63.87197876,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Nc1nccc2ccc(CN3CCC(NS(=O)(=O)c4cc5ncccc5s4)C3=O)cc12,32,5.744161129,1.840633035,453.0929315,0.521101296,4.734871387,83.6787262,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
COc1ccc2ccc(S(=O)(=O)N(C)C3CCN(Cc4ccc5ccc(N)nc5c4)C3=O)cc2c1,14,5.674077034,2.25877285,490.1674763,1.814647198,5.17565155,96.38892365,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
COc1ccccc1-c1ccc(S(=O)(=O)NC2CCN(Cc3cccc(C(=N)N)c3)C2=O)cc1,38,5.634793758,1.343593717,478.1674763,-0.05797863,4.452776432,46.7628212,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
O=C(Cn1c(C(=O)N2CCN(Cc3ccncc3)CC2)nc2ccccc21)Nc1ccc(Cl)cn1,40,5.591691017,2.234856367,489.1680007,1.738972187,5.581240177,53.85279083,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CC(C)N1CCC(NC(=O)c2nc3cccc(C(=O)O)c3n2CCc2ccc(Cl)cc2)CC1,21,5.394109249,1.029201269,468.1928185,0.775482595,4.270853043,7.579848766,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
C#Cc1ccc(C(=O)NCCC(=O)Nc2ccc(N3CCOCC3=O)cc2)s1,39,5.386269093,1.095713973,397.1096271,0.332676411,4.133474827,19.46901131,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
O=C(CCNC(=O)c1ccc(Cl)cc1)Nc1ccc(-n2ccc(=O)cc2)cc1,23,5.242872238,1.396970987,395.1036691,0.595886409,4.41491127,16.55117607,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
N=C(N)c1cccc(CN2CC(NS(=O)(=O)c3ccc(-c4ccccn4)s3)CC2=O)c1,17,5.222341537,0.656656623,455.1085815,-0.109080225,4.37398243,19.06063271,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
N=C(N)c1ccc(CNC(=O)C2CCN2C(=O)C(NCC(=O)O)C2CCCCC2)cc1,5,5.169804096,0.081544399,429.2376045,0.390354753,4.130000591,8.806735039,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
N=C(N)c1c[nH]c2ccc(CCNC(=O)c3cccc(Cl)c3)cc12,13,5.07002449,0.689315498,340.1090888,0.05399698,4.769620419,16.06508446,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
O=C(Nc1nc(-c2cccnc2)cs1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,20,4.941894531,4.779358864,517.0433944,1.795030236,5.229107857,59.23757172,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CC(C)N1CC(CNC(=O)c2nccn2Cc2cc(-c3ccc(Cl)s3)on2)C1,50,4.922489166,1.781227708,419.1182736,1.41648984,5.164070129,53.97188187,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O=C(Cn1nc(C(=O)N2CCC(N3CCCC3=O)CC2)c2ccccc21)Nc1ccc(Cl)cn1,24,4.818231106,1.529714823,480.1676663,1.467208862,4.382511139,8.686281204,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
COc1ccc(-c2ccc(C(=O)N3CCC(O)(c4ccc5ccnc(N)c5c4)CC3)cc2)cn1,43,4.818210125,2.664455175,454.2004907,1.404311657,5.401230812,52.1929512,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
O=C(c1cnc(C(=O)N2CCCOCC2)n1Cc1cc(-c2ccc(Cl)s2)on1)N1CCCOCC1,37,4.672261238,1.938505769,519.1343176,2.287529469,4.238428116,49.9214325,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
COc1cccc(Cn2ccnc2C(=O)NC2CN(c3ccncc3)C2)c1,18,4.542308807,0.400965929,363.1695249,1.183540344,5.214808464,37.64088058,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
