SMILES,molweight,molweight_bounds,tpsa,tpsa_bounds,logp,logp_bounds,all_bounds
Cc1cccc(NC(=O)CN2CCN(c3ccccc3C#N)CC2)c1,358.0639685,True,29.27,False,5.4239,False,False
Cc1ccc(NCCNCc2ccc3ccc(=O)oc3c2)cc1,332.2000968,True,24.3,False,3.50292,True,False
Clc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1Cl,327.1834437,True,41.93,True,2.9697,True,True
Clc1ccc(CN2CCOC(CSc3ccccc3)C2)cc1,299.188529,False,30.49,False,3.74094,True,False
Cc1nn(-c2ccccc2)cc1CN1CCN(c2ccccc2)CC1,352.1786926,True,50.8,True,3.4057,True,True
c1ccc(OCC2CCC3CN(c4ncccn4)CCN3C2)cc1,427.1662694,False,53.09,True,2.5885,True,False
C#Cc1cc(CN2CCN(c3ccccc3OC)CC2)c2cccccc1-2,369.0855744,True,49.94,True,4.4037,False,False
COc1ccccc1N1CCN(Cc2cn3cc(C)cc(N4CCOCC4)c3n2)CC1,402.2168095,True,50.83,True,3.15922,True,True
COc1ccc(F)cc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,349.1902604,True,46.42,True,2.5981,True,True
CON=C(CCN1CCN(c2ccccn2)CC1)c1cccc(C)c1,305.1182566,False,30.49,False,3.7775,True,False
Cc1ccc(OCCCNCCOc2ccc(Cl)cc2)cc1,309.1841124,False,45.23,True,3.20812,True,False
Clc1cccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)c1,260.1888634,False,32.34,False,2.8457,True,False
COCCOc1ccccc1OCC1CN(Cc2ccc(Cl)cc2)CCO1,363.1059776,True,21.7,False,4.3417,False,False
Cc1nn2c(C#N)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,340.1587061,True,37.49,False,3.5868,True,False
c1ccc(C2=NCCC(CN3CCN(c4ccccc4)CC3)N2)cc1,339.194677,True,44.81,True,2.51312,True,True
O=[N+]([O-])c1ccc(OCCNCCCOc2ccccc2)cc1,350.1298243,True,46.06,True,4.01518,False,False
COc1ccccc1N1CCN(Cc2cn3cc(C)cc(I)c3n2)CC1,413.9860238,True,27.05,False,6.4548,False,False
Clc1ccccc1N1CCN(Cc2nc3ccccc3[nH]2)CC1,393.2416272,True,36.02,False,3.2959,True,False
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cn(-c2ccc([N+](=O)[O-])cc2)nn1,360.1404692,True,23.55,False,4.2642,False,False
O=C(CCCN1CCN(c2ncccn2)CC1)c1ccc(F)cc1,509.3002047,False,74.11,False,3.6656,True,False
O=C1Cc2ccccc2N1CCN1CCN(Cc2ccc(Cl)cc2)CC1,354.1247389,True,40.85,True,3.1224,True,True
CC1Cc2ccccc2N1C(=O)CC1CCN(Cc2ccc(Cl)cc2)CC1,397.1920902,True,26.79,False,3.8255,True,False
COc1ccccc1OCC1CN(Cc2cccc(Cl)c2)CCO1,399.1713548,True,47.02,True,2.4078,True,True
COc1cccc(C(=O)NCCN2CCN(c3cccc4ccccc34)CC2)c1,362.1452843,True,32.34,False,4.4194,False,False
CC1Cc2ccccc2N1C(=O)CC1CCN(Cc2ccc(F)cc2)CC1,413.1870048,True,36.02,False,3.444,True,False
Cc1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)cc1C,372.1685219,True,74.07,False,3.2733,True,False
c1ccc(-n2ccc(CN3CCN(c4ccccn4)CC3)c2)cc1,297.172879,False,32.7,False,3.2258,True,False
Clc1ccc(-c2cc(C3CCN(CCc4ccccc4)CC3)[nH]n2)cc1,338.1994281,True,41.57,True,3.57052,True,True
COc1ccccc1N1CCN(Cc2cnn(-c3ccccc3)c2)CC1,360.1561813,True,35.16,False,3.9039,True,False
Cc1ncccc1OCC1CN(Cc2ccc(Cl)cc2)CCCO1,318.1844467,False,24.3,False,3.1945,True,False
COc1cccc(OCC2CN(Cc3ccc(Cl)cc3)CCO2)c1OC,326.1298243,True,23.78,False,3.3099,True,False
Cc1c(C2CCN(CCc3ccccc3)CC2)noc1-c1ccc(Cl)cc1,369.1607901,True,26.79,False,3.0469,True,False
N#Cc1ccc2[nH]c(CN3CCN(c4ccc(Cl)cc4)CC3)cc2c1,345.1495567,True,21.7,False,4.1822,False,False
Cc1c(-c2ccccc2)cnn1C1CCN(Cc2cccc(Cl)c2)CC1,367.2059907,True,26.79,False,2.9211,True,False
